timestamp,Open,Close
5/8/25 11:00,484.8,491.5
4/30/25 10:00,462.5,468.3
4/14/25 10:45,462.4,454.5
4/9/25 12:00,418,459
4/8/25 10:30,441.5,412
4/7/25 9:50,405,432
2/27/25 13:30,512,500
2/28/25 14:00,499,508
3/3/25 14:45,505,495
3/4/25 11:30,490,502
3/4/25 15:30,502,495
3/5/25 11:45,492,499.5
3/6/25 9:45,492,498
3/6/25 11:15,497,490
3/10/25 9:45,483,476
3/11/25 13:30,467,477
3/12/25 9:30,479,473
3/12/25 11:15,473,478
3/19/25 14:00,477,484
3/20/25 9:30,477,484
4/1/25 10:15,465.5,472
5/13/25 9:30,509,514
5/21/25 12:45,522,515
5/30/25 12:15,518,512